Некоммерческая организация «Союз студенческих землячеств»;Формирование гражданской идентичности у молодежи – залог будущего России;Российский Союз Молодежи;1 конкурс;2013 год;2500000;От 1 млн до 3 млн
Некоммерческая организация«Ассоциация студенческого баскетбола»;Развитие массового студенческого баскетбола в Российской Федерации в 2014-15 г.г.;Лига здоровья нации;2 конкурс;2014 год;11000000;Больше 10 млн
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;Родными тропами;Лига здоровья нации;3 конкурс;2014 год;855000;Меньше 1 млн
Фонд изучения исторической перспективы;Крым в русской исторической памяти. Лекционный курс для студентов ВУЗов и молодежи Республики Крым и города федерального значения Севастополя;Российский Союз Молодежи;3 конкурс;2014 год;4753600;От 3 млн до 5 млн
Межрегиональная Ассоциация молодежных общественных объединений Кавказа;"""Доброволец - миротворец"". (Поддержание действующих добровольческих инициатив, создание студенческих добровольческих отрядов, информирование о возможностях волонтерской деятельности).";Национальный благотворительный фонд;3 конкурс;2014 год;2580204;От 1 млн до 3 млн
"Первичная профсоюзная организация студентов государственного образовательного учреждения высшего профессионального образования ""Рязанский государственный радиотехнический университет "" Профсоюза работников народного образования и науки Российской Федерации.";"""Нам доверена память"" (сохранение памяти о подвиге нашего народа в годы Великой Отечественной войны, увековечение памяти о защитниках Отечества, формирование у молодого поколения патриотического сознания).";Национальный благотворительный фонд;3 конкурс;2014 год;2028950;От 1 млн до 3 млн
Региональная общественная организация «Федерация спортивного ориентирования Ульяновской области»;Разработка оздоровительной инновационной технологии физической подготовки студентов специальной медицинской группы на основе индивидуально-типологического подхода;Лига здоровья нации;3 конкурс;2014 год;2000000;От 1 млн до 3 млн
Некоммерческое партнерство «Центр геополитических исследований «Берлек-Единство»;Популяризация  традиционных духовных ценностей Евразийской цивилизации среди студенческой молодежи регионов Российской Федерации и республик Центральной Азии;Российский Союз Молодежи;3 конкурс;2014 год;3012000;От 3 млн до 5 млн
Общероссийская общественная организация  «ВСЕРОССИЙСКИЙ СТУДЕНЧЕСКИЙ СОЮЗ»;Саммит студенческих лидеров стран ШОС;Российский Союз Молодежи;3 конкурс;2014 год;1597300;От 1 млн до 3 млн
"Региональная молодёжная общественная организация ""Студенческий спортивный клуб Московского финансово-юридического университета МФЮА ""Альтаир""";Развитие массового студенческого спорта в России;Российский Союз Молодежи;3 конкурс;2014 год;4500000;От 3 млн до 5 млн
Ярославская областная молодёжная общественная организация «Союз студентов»;Комплексная программа развития студенческого футбола и мини-футбола – «Студенческая мини-футбольная лига»;Российский Союз Молодежи;3 конкурс;2014 год;2000000;От 1 млн до 3 млн
Тюменская региональная общественная организация Центр закаливания и плавания в холодной воде «АквАйСпорт-Тюмень»;«Озеро Чемпионов» - доступный спорт студенту в каждый день.;Российский Союз Молодежи;3 конкурс;2014 год;1600000;От 1 млн до 3 млн
"Всероссийская молодежная общественная организация ""Российский союз студенческих организаций""";"Международный молодежный научный форум ""Ломоносов""";Общество «Знание» России;3 конкурс;2014 год;1000000;От 1 млн до 3 млн
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета общероссийского профсоюза работников народного образования и науки Российской федерации;«50 добрых дел любимому городу»;Российский Союз Молодежи;3 конкурс;2014 год;120000;Меньше 1 млн
Московское городское отделение Всероссийской общественной молодежной организации «Всероссийский студенческий корпус спасателей»;Сила духа;Лига здоровья нации;3 конкурс;2014 год;4050000;От 3 млн до 5 млн
Южно-Российская Ассоциация студенческих профсоюзных организаций;Программа пропаганды здорового образа жизни  среди студентов вузов Южного и Северо-Кавказского федеральных округов;Лига здоровья нации;3 конкурс;2014 год;3000000;От 3 млн до 5 млн
